Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 28.21      0.11     0.11  4489330     0.00     0.00  tv_to_double(timeval*)
 25.64      0.21     0.10        1   100.01   379.82  do_mutilate(std::vector<std::string, std::allocator<std::string> > const&, options_t&, ConnectionStats&, bool)
 16.67      0.28     0.07  4479325     0.00     0.00  Connection::check_exit_condition(double)
 10.26      0.32     0.04  8966966     0.00     0.00  bool __gnu_cxx::operator!=<Connection**, std::vector<Connection*, std::allocator<Connection*> > >(__gnu_cxx::__normal_iterator<Connection**, std::vector<Connection*, std::allocator<Connection*> > > const&, __gnu_cxx::__normal_iterator<Connection**, std::vector<Connection*, std::allocator<Connection*> > > const&)
  7.69      0.35     0.03 17933932     0.00     0.00  __gnu_cxx::__normal_iterator<Connection**, std::vector<Connection*, std::allocator<Connection*> > >::base() const
  5.13      0.37     0.02  8966966     0.00     0.00  __gnu_cxx::__normal_iterator<Connection**, std::vector<Connection*, std::allocator<Connection*> > >::__normal_iterator(Connection** const&)
  2.56      0.38     0.01  4483483     0.00     0.00  std::vector<Connection*, std::allocator<Connection*> >::begin()
  2.56      0.39     0.01       42     0.24     0.24  std::_Iter_base<unsigned long*, false>::_S_base(unsigned long*)
  1.28      0.39     0.01    10003     0.00     0.00  Connection::pop_op()
  0.00      0.39     0.00  4483483     0.00     0.00  __gnu_cxx::__normal_iterator<Connection**, std::vector<Connection*, std::allocator<Connection*> > >::operator++()
  0.00      0.39     0.00  4483483     0.00     0.00  __gnu_cxx::__normal_iterator<Connection**, std::vector<Connection*, std::allocator<Connection*> > >::operator*() const
  0.00      0.39     0.00  4483483     0.00     0.00  std::vector<Connection*, std::allocator<Connection*> >::end()
  0.00      0.39     0.00    45066     0.00     0.00  std::__deque_buf_size(unsigned long)
  0.00      0.39     0.00    43808     0.00     0.00  std::_Deque_iterator<Operation, Operation&, Operation*>::_S_buffer_size()
  0.00      0.39     0.00    42524     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::size() const
  0.00      0.39     0.00    42524     0.00     0.00  std::queue<Operation, std::deque<Operation, std::allocator<Operation> > >::size() const
  0.00      0.39     0.00    42524     0.00     0.00  std::_Deque_iterator<Operation, Operation&, Operation*>::difference_type std::operator-<Operation, Operation&, Operation*>(std::_Deque_iterator<Operation, Operation&, Operation*> const&, std::_Deque_iterator<Operation, Operation&, Operation*> const&)
  0.00      0.39     0.00    20006     0.00     0.00  Operation::~Operation()
  0.00      0.39     0.00    20003     0.00     0.00  Fixed::generate(double)
  0.00      0.39     0.00    14174     0.00     0.00  std::_Deque_iterator<Operation, Operation&, Operation*>::_Deque_iterator(std::_Deque_iterator<Operation, Operation&, Operation*> const&)
  0.00      0.39     0.00    14166     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::begin()
  0.00      0.39     0.00    14164     0.00     0.00  std::_Deque_iterator<Operation, Operation&, Operation*>::operator*() const
  0.00      0.39     0.00    14164     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::front()
  0.00      0.39     0.00    14164     0.00     0.00  std::queue<Operation, std::deque<Operation, std::allocator<Operation> > >::front()
  0.00      0.39     0.00    10628     0.00     0.00  Operation const&&& std::forward<Operation const&>(std::remove_reference<Operation const&>::type&)
  0.00      0.39     0.00    10016     0.00     0.00  get_time()
  0.00      0.39     0.00    10006     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.39     0.00    10003     0.00     0.00  fnv_64_buf(void const*, unsigned long)
  0.00      0.39     0.00    10003     0.00     0.00  fnv_64(unsigned long)
  0.00      0.39     0.00    10003     0.00     0.00  KeyGenerator::generate(unsigned long)
  0.00      0.39     0.00    10003     0.00     0.00  Operation::Operation(Operation const&)
  0.00      0.39     0.00    10003     0.00     0.00  Operation::Operation()
  0.00      0.39     0.00    10003     0.00     0.00  void __gnu_cxx::new_allocator<Operation>::destroy<Operation>(Operation*)
  0.00      0.39     0.00    10003     0.00     0.00  _ZN9__gnu_cxx13new_allocatorI9OperationE9constructIS1_JRKS1_EEEvPT_DpOT0_
  0.00      0.39     0.00    10003     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::pop_front()
  0.00      0.39     0.00    10003     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::push_back(Operation const&)
  0.00      0.39     0.00    10003     0.00     0.00  std::queue<Operation, std::deque<Operation, std::allocator<Operation> > >::pop()
  0.00      0.39     0.00    10003     0.00     0.00  std::queue<Operation, std::deque<Operation, std::allocator<Operation> > >::push(Operation const&)
  0.00      0.39     0.00    10000     0.00     0.00  Connection::issue_set(char const*, char const*, int, double)
  0.00      0.39     0.00     6508     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::base() const
  0.00      0.39     0.00     4165     0.00     0.00  Connection::read_callback()
  0.00      0.39     0.00     3242     0.00     0.00  bool __gnu_cxx::operator!=<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >(__gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&, __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > > const&)
  0.00      0.39     0.00     3221     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator++()
  0.00      0.39     0.00     3221     0.00     0.00  __gnu_cxx::__normal_iterator<unsigned long*, std::vector<unsigned long, std::allocator<unsigned long> > >::operator*() const
  0.00      0.39     0.00     1284     0.00     0.00  std::_Deque_iterator<Operation, Operation&, Operation*>::_M_set_node(Operation**)
  0.00      0.39     0.00      905     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::size() const
  0.00      0.39     0.00      884     0.00     0.00  std::vector<unsigned long, std::allocator<unsigned long> >::operator[](unsigned long)
  0.00      0.39     0.00      627     0.00     0.00  __gnu_cxx::new_allocator<Operation>::deallocate(Operation*, unsigned long)
  0.00      0.39     0.00      627     0.00     0.00  __gnu_cxx::new_allocator<Operation>::allocate(unsigned long, void const*)
  0.00      0.39     0.00      627     0.00     0.00  __gnu_cxx::new_allocator<Operation>::max_size() const
  0.00      0.39     0.00      627     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_allocate_node()
  0.00      0.39     0.00      627     0.00     0.00  std::_Deque_base<Operation, std::allocator<Operation> >::_M_deallocate_node(Operation*)
  0.00      0.39     0.00      625     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::_M_pop_front_aux()
  0.00      0.39     0.00      625     0.00     0.00  _ZNSt5dequeI9OperationSaIS0_EE16_M_push_back_auxIJRKS0_EEEvDpOT_
  0.00      0.39     0.00      625     0.00     0.00  std::deque<Operation, std::allocator<Operation> >::_M_reserve_map_at_back(unsigned long)
