#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      193.1   178.7    88.2   118.2   119.8   211.8   800.5  1003.4    500.0      500
read      188.0   159.6    66.3   115.0   119.1   208.0   363.9   938.2   2459.5     2500
read      169.0   149.2    60.2    83.0   102.0   202.4   276.6   920.5   4525.0     4500
read      153.8   146.6    60.2    68.8    74.4   194.4   248.9   860.6   6526.0     6500
read      155.2   159.2    60.2    64.7    69.4   203.1   273.8   877.4   8417.5     8500
read      144.6   163.9    60.2    63.8    67.2   197.8   346.3   864.5  10483.5    10500
read      140.7   172.4    54.8    61.4    62.6   198.1   613.9   833.6  12421.5    12500
read      136.6   161.1    54.8    61.9    63.7   193.9   250.5   864.8  14132.4    14500
read      159.9   176.6    60.2    62.0    63.8   206.5   636.1   885.4  12445.4    16500
read      149.1   176.8    60.2    61.8    63.4   203.2   625.2   847.8  13367.9    18500
read      157.9   178.8    60.2    61.8    63.3   208.4   649.3   857.0  12624.0    20500
read      144.9   162.6    54.8    62.0    63.8   199.9   270.5   896.2  13753.0    22500
read      138.1   164.1    60.2    61.8    63.3   196.3   354.3   868.1  14427.5    24500
read      151.6   156.4    60.2    67.8    71.7   200.4   332.8   904.6  13147.0    26500
read      150.1   167.8    60.2    69.3    77.8   202.0   324.6   890.0  13275.5    28500
