target	95th	99th
5000	253.6	298.3
15000	266.4	321.4
25000	266.2	428.8
35000	233.9	296.4
45000	203.8	261.5
55000	202.4	241.2
65000	188.5	234.2
75000	192.3	224.7
85000	211.8	256.7
95000	258.4	341.3
105000	212.4	257.3
115000	221.9	269.5
125000	1632.5	1932.2
135000	301.0	416.3
145000	511.9	1251.5
155000	333.9	785.1
165000	941.6	1376.6
175000	1134.6	1857.8
185000	1099.8	1620.7
195000	979.8	1409.2
205000	1679.3	1831.5
215000	1690.5	1946.9
225000	1672.5	1847.1
235000	1639.3	1813.5
245000	1689.9	1832.2
255000	1742.1	1851.3
265000	1660.8	1813.5
275000	1648.5	1805.3
285000	1717.9	1857.8
295000	1681.3	1836.4
305000	1691.6	1837.8
315000	1668.2	1842.1
325000	1659.5	1805.6
335000	1697.1	1834.9
345000	1660.3	1826.5
355000	1540.9	1825.1
