#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      148.5    36.1    66.3    88.3    95.9   195.3   211.6   250.4   4985.5     5000
read      182.2   450.6    66.3    99.8   113.0   219.4   246.1   328.3  15083.5    15000
read      149.8    -nan    60.2    86.9    96.9   207.4   236.6   307.3  24782.0    25000
read      134.4    69.9    60.2    83.8    89.4   187.0   207.9   263.9  35219.7    35000
read      119.6   194.0    60.2    81.3    85.1   159.6   177.0   213.0  45042.0    45000
read      115.3   227.5    54.8    79.6    83.8   150.2   162.7   189.2  55092.0    55000
read      120.2   161.0    60.2    81.8    87.4   155.0   168.0   195.4  64849.5    65000
read      119.3   181.7    54.8    79.4    85.4   154.1   167.0   196.2  75182.0    75000
read      121.5    -nan    60.2    81.4    88.2   155.3   167.7   192.4  84961.0    85000
read      122.4   166.8    54.8    82.3    89.5   155.6   167.5   189.1  94769.0    95000
read      132.5   269.2    54.8    86.0    93.5   161.9   172.6   204.4 105213.6   105000
read      129.9   223.0    54.8    87.7    95.2   163.4   175.2   206.6 114729.6   115000
read      139.6   281.2    60.2    94.4   102.2   177.9   190.3   222.6 125203.4   125000
read      142.1    -nan    54.8    97.3   105.0   181.1   194.8   227.3 135244.1   135000
read      138.5    -nan    54.8    95.2   102.6   173.5   187.0   221.5 144949.9   145000
read      150.0   353.9    54.8   100.3   109.0   185.6   201.6   251.6 154710.8   155000
read      146.0   389.8    54.8   100.3   108.8   184.5   199.1   234.9 164860.9   165000
read      144.6   443.2    54.8   100.3   108.8   181.5   194.3   226.5 174639.6   175000
read      168.4   448.5    60.2   110.4   121.3   219.1   243.5   314.1 185500.4   185000
read      151.0   391.6    60.2   104.0   113.2   189.0   203.5   240.4 195320.9   195000
read      156.4    -nan    60.2   106.4   115.8   198.3   217.2   292.9 205424.9   205000
read      172.4   418.8    60.2   116.3   127.1   222.9   246.8   331.6 214455.9   215000
read      166.7    -nan    60.2   112.7   123.2   210.5   238.1   346.2 224735.4   225000
read      175.5    -nan    60.2   117.8   129.2   227.1   250.2   355.7 235124.7   235000
read      185.1   390.9    60.2   116.5   127.3   235.4   324.2   629.4 245379.9   245000
read      172.4   382.9    60.2   117.7   128.9   221.0   242.1   296.1 255427.1   255000
read      177.4   426.0    60.2   121.1   132.2   227.9   248.0   299.9 265155.4   265000
read      193.9   488.0    60.2   124.3   135.2   244.6   275.0   731.6 274159.2   275000
read      229.5    -nan    66.3   132.3   143.8   315.4   470.9   929.9 285228.5   285000
read      206.7   572.6    66.3   132.5   143.8   274.0   305.4   491.0 295189.4   295000
read      247.9   554.4    60.2   140.1   150.6   361.4   493.3   944.3 305037.9   305000
read      265.4   601.9    60.2   143.5   155.2   401.7   551.7  1009.4 315170.1   315000
read      251.2   525.5    66.3   145.7   159.3   352.2   400.7   681.0 325042.7   325000
read      299.9    -nan    60.2   159.9   179.8   441.9   523.0   900.3 335153.0   335000
read      383.9   632.9    72.9   186.1   209.2   600.4   690.3  1087.3 343942.1   345000
read      427.6   650.0    72.9   201.3   233.3   685.8   743.5   998.0 349310.9   355000
