target	95th	99th
5000	211.6	250.4
15000	246.1	328.3
25000	236.6	307.3
35000	207.9	263.9
45000	177.0	213.0
55000	162.7	189.2
65000	168.0	195.4
75000	167.0	196.2
85000	167.7	192.4
95000	167.5	189.1
105000	172.6	204.4
115000	175.2	206.6
125000	190.3	222.6
135000	194.8	227.3
145000	187.0	221.5
155000	201.6	251.6
165000	199.1	234.9
175000	194.3	226.5
185000	243.5	314.1
195000	203.5	240.4
205000	217.2	292.9
215000	246.8	331.6
225000	238.1	346.2
235000	250.2	355.7
245000	324.2	629.4
255000	242.1	296.1
265000	248.0	299.9
275000	275.0	731.6
285000	470.9	929.9
295000	305.4	491.0
305000	493.3	944.3
315000	551.7	1009.4
325000	400.7	681.0
335000	523.0	900.3
345000	690.3	1087.3
355000	743.5	998.0
