#type       avg     min     1st     5th    10th    90th    95th    99th      QPS   target
read      182.9    36.1    72.9   134.4   144.6   233.6   250.5   292.2   4992.6     5000
read      171.6   247.6    72.9   101.6   114.7   233.5   257.6   315.0  14950.0    15000
read      172.2    -nan    66.3    99.3   109.2   243.7   276.3   366.1  24982.4    25000
read      151.8   152.4    66.3    92.8    99.2   211.8   238.9   304.6  35072.4    35000
read      821.9    -nan    60.2    87.3    93.7   441.8   622.3  1096.5  45111.0    45000
read      129.0  9310.7    60.2    85.5    91.6   171.8   188.2   224.4  55018.2    55000
read      128.4    -nan    60.2    85.1    91.3   169.9   186.7   224.2  65004.2    65000
read      130.4  7243.9    60.2    87.5    93.8   169.4   184.6   216.9  74964.4    75000
read      138.4  7402.6    60.2    92.3    99.8   181.0   196.4   228.9  85366.8    85000
read      136.1 12348.0    60.2    90.1    98.0   178.4   196.0   235.3  35577.4    95000
read      149.7  2259.8    60.2    99.1   107.7   197.1   214.7   253.9 105017.7   105000
read      148.4  2162.9    60.2    99.3   107.9   193.0   207.9   248.3 114976.2   115000
read      146.5   230.6    60.2    99.0   107.4   188.8   205.5   245.0 124943.8   125000
read      149.6   254.9    60.2    99.9   108.6   195.3   212.8   251.6 133812.0   135000
read      159.4   619.1    60.2   107.0   117.3   205.8   226.3   270.5  26216.6   145000
read      166.8   259.0    66.3   111.9   122.4   216.9   238.7   287.3 155010.8   155000
read      161.0   289.9    66.3   110.1   120.4   204.8   222.4   258.8 164880.0   165000
read      160.9   333.8    60.2   109.4   119.9   205.3   224.3   265.2 174838.2   175000
read      165.4   335.7    60.2   113.6   124.0   210.0   229.6   272.7 185152.6   185000
read      224.4 10109.6    54.8   105.2   115.8   224.3   273.6   413.7 155835.7   195000
read      173.3  4769.7    66.3   119.6   130.3   222.6   243.7   296.3 204947.2   205000
read      181.1  4660.2    66.3   123.5   134.2   234.9   256.0   325.8 215001.6   215000
read      184.7  4221.6    66.3   124.5   135.0   240.2   267.3   384.0 225070.6   225000
read      180.5  4642.9    66.3   121.8   132.7   234.3   258.3   354.9 217218.5   235000
read      202.3  7640.2    60.2   114.7   126.1   227.4   253.2   385.4 192300.1   245000
read      200.2    -nan    66.3   129.6   139.9   259.4   305.9   583.5 252395.8   255000
read      203.4  5454.2    66.3   131.6   142.8   258.4   293.1   689.5 264989.7   265000
read      202.1    -nan    60.2   133.8   144.7   263.6   292.0   394.3 275234.2   275000
read      201.9  7306.1    60.2   123.3   139.6   269.3   296.7   380.4 147874.8   285000
read     1376.8    -nan    66.3   154.0   174.5   681.8   757.9  1321.4 122946.5   295000
read      248.0 23118.2    72.9   145.7   158.3   332.3   409.6   905.6 305309.3   305000
read      479.7    -nan    72.9   152.3   170.4   582.1   635.9   834.4 238255.2   315000
read      274.5 20018.8    72.9   153.4   170.7   386.4   493.9   884.9 324902.0   325000
read      298.1 19445.9    72.9   160.1   179.7   428.7   525.5   957.5 334967.5   335000
read      391.6 11469.0    80.2   185.6   207.4   634.0   717.3  1323.6 277204.3   345000
read      436.0 10806.7    80.2   199.7   230.8   669.8   836.7  1258.6 350359.8   355000
