target	QPS	95th	99th
5000	4992.6	250.5	292.2
15000	14950.0	257.6	315.0
25000	24982.4	276.3	366.1
35000	35072.4	238.9	304.6
45000	45111.0	622.3	1096.5
55000	55018.2	188.2	224.4
65000	65004.2	186.7	224.2
75000	74964.4	184.6	216.9
85000	85366.8	196.4	228.9
95000	35577.4	196.0	235.3
105000	105017.7	214.7	253.9
115000	114976.2	207.9	248.3
125000	124943.8	205.5	245.0
135000	133812.0	212.8	251.6
145000	26216.6	226.3	270.5
155000	155010.8	238.7	287.3
165000	164880.0	222.4	258.8
175000	174838.2	224.3	265.2
185000	185152.6	229.6	272.7
195000	155835.7	273.6	413.7
205000	204947.2	243.7	296.3
215000	215001.6	256.0	325.8
225000	225070.6	267.3	384.0
235000	217218.5	258.3	354.9
245000	192300.1	253.2	385.4
255000	252395.8	305.9	583.5
265000	264989.7	293.1	689.5
275000	275234.2	292.0	394.3
285000	147874.8	296.7	380.4
295000	122946.5	757.9	1321.4
305000	305309.3	409.6	905.6
315000	238255.2	635.9	834.4
325000	324902.0	493.9	884.9
335000	334967.5	525.5	957.5
345000	277204.3	717.3	1323.6
355000	350359.8	836.7	1258.6
